Test ID,Module,Scenario,Device,Status,Start Time,End Time,Duration (ms),Failure Reason
TC_44,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #44)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:53.053Z,2026-06-23T04:41:53.983Z,930,""
TC_45,"Security","Should clear session cache and tokens upon successful logout (Suite Check #45)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:53.983Z,2026-06-23T04:41:54.913Z,930,""
TC_46,"Security","Should enforce password field masking during credentials input (Suite Check #46)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:54.913Z,2026-06-23T04:41:55.843Z,930,""
TC_47,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #47)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:55.843Z,2026-06-23T04:41:56.773Z,930,""
TC_48,"Security","Should clear session cache and tokens upon successful logout (Suite Check #48)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:56.773Z,2026-06-23T04:41:57.703Z,930,""
TC_49,"Security","Should enforce password field masking during credentials input (Suite Check #49)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:57.703Z,2026-06-23T04:41:58.633Z,930,""
TC_50,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #50)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:58.633Z,2026-06-23T04:41:59.563Z,930,""
TC_51,"Security","Should clear session cache and tokens upon successful logout (Suite Check #51)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:59.563Z,2026-06-23T04:42:00.493Z,930,""
TC_52,"Security","Should enforce password field masking during credentials input (Suite Check #52)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:00.493Z,2026-06-23T04:42:01.423Z,930,""
TC_53,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #53)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:01.423Z,2026-06-23T04:42:02.353Z,930,""
TC_54,"Security","Should clear session cache and tokens upon successful logout (Suite Check #54)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:02.353Z,2026-06-23T04:42:03.283Z,930,""
TC_55,"Security","Should enforce password field masking during credentials input (Suite Check #55)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:03.283Z,2026-06-23T04:42:04.213Z,930,""
TC_56,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #56)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:04.213Z,2026-06-23T04:42:05.143Z,930,""
TC_57,"Security","Should clear session cache and tokens upon successful logout (Suite Check #57)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:05.143Z,2026-06-23T04:42:06.073Z,930,""
TC_58,"Security","Should enforce password field masking during credentials input (Suite Check #58)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:06.073Z,2026-06-23T04:42:07.003Z,930,""
TC_59,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #59)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:07.003Z,2026-06-23T04:42:07.933Z,930,""
TC_60,"Security","Should clear session cache and tokens upon successful logout (Suite Check #60)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:07.933Z,2026-06-23T04:42:08.863Z,930,""
TC_61,"Security","Should enforce password field masking during credentials input (Suite Check #61)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:08.863Z,2026-06-23T04:42:09.793Z,930,""
TC_62,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #62)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:09.793Z,2026-06-23T04:42:10.723Z,930,""
TC_63,"Security","Should clear session cache and tokens upon successful logout (Suite Check #63)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:10.723Z,2026-06-23T04:42:11.653Z,930,""
TC_64,"Security","Should enforce password field masking during credentials input (Suite Check #64)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:11.653Z,2026-06-23T04:42:12.583Z,930,""
TC_65,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #65)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:12.583Z,2026-06-23T04:42:13.513Z,930,""
TC_66,"Security","Should clear session cache and tokens upon successful logout (Suite Check #66)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:13.513Z,2026-06-23T04:42:14.443Z,930,""
TC_67,"Security","Should enforce password field masking during credentials input (Suite Check #67)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:14.443Z,2026-06-23T04:42:15.373Z,930,""
TC_68,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #68)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:15.373Z,2026-06-23T04:42:16.303Z,930,""
TC_69,"Security","Should clear session cache and tokens upon successful logout (Suite Check #69)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:16.303Z,2026-06-23T04:42:17.233Z,930,""
TC_70,"Security","Should enforce password field masking during credentials input (Suite Check #70)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:17.233Z,2026-06-23T04:42:18.163Z,930,""
TC_71,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #71)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:18.163Z,2026-06-23T04:42:19.093Z,930,""
TC_72,"Security","Should clear session cache and tokens upon successful logout (Suite Check #72)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:19.093Z,2026-06-23T04:42:20.023Z,930,""
TC_73,"Security","Should enforce password field masking during credentials input (Suite Check #73)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:20.023Z,2026-06-23T04:42:20.953Z,930,""
TC_74,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #74)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:20.953Z,2026-06-23T04:42:21.883Z,930,""
TC_75,"Security","Should clear session cache and tokens upon successful logout (Suite Check #75)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:21.883Z,2026-06-23T04:42:22.813Z,930,""
TC_76,"Security","Should enforce password field masking during credentials input (Suite Check #76)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:22.813Z,2026-06-23T04:42:23.743Z,930,""
TC_77,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #77)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:23.743Z,2026-06-23T04:42:24.673Z,930,""
TC_78,"Security","Should clear session cache and tokens upon successful logout (Suite Check #78)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:24.673Z,2026-06-23T04:42:25.603Z,930,""
TC_79,"Security","Should enforce password field masking during credentials input (Suite Check #79)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:25.603Z,2026-06-23T04:42:26.533Z,930,""
TC_80,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #80)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:26.533Z,2026-06-23T04:42:27.463Z,930,""
TC_81,"Security","Should clear session cache and tokens upon successful logout (Suite Check #81)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:27.463Z,2026-06-23T04:42:28.393Z,930,""
TC_82,"Security","Should enforce password field masking during credentials input (Suite Check #82)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:28.393Z,2026-06-23T04:42:29.323Z,930,""
TC_83,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #83)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:29.323Z,2026-06-23T04:42:30.253Z,930,""
TC_84,"Security","Should clear session cache and tokens upon successful logout (Suite Check #84)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:30.253Z,2026-06-23T04:42:31.183Z,930,""
TC_85,"Security","Should enforce password field masking during credentials input (Suite Check #85)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:31.183Z,2026-06-23T04:42:32.113Z,930,""
TC_86,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #86)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:32.113Z,2026-06-23T04:42:33.043Z,930,""
TC_87,"Security","Should clear session cache and tokens upon successful logout (Suite Check #87)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:33.043Z,2026-06-23T04:42:33.973Z,930,""
TC_88,"Security","Should enforce password field masking during credentials input (Suite Check #88)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:33.973Z,2026-06-23T04:42:34.903Z,930,""
TC_89,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #89)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:34.903Z,2026-06-23T04:42:35.833Z,930,""
TC_90,"Security","Should clear session cache and tokens upon successful logout (Suite Check #90)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:35.833Z,2026-06-23T04:42:36.763Z,930,""
TC_91,"Security","Should enforce password field masking during credentials input (Suite Check #91)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:36.763Z,2026-06-23T04:42:37.693Z,930,""
TC_92,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #92)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:37.693Z,2026-06-23T04:42:38.623Z,930,""
TC_93,"Security","Should clear session cache and tokens upon successful logout (Suite Check #93)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:38.623Z,2026-06-23T04:42:39.553Z,930,""
TC_94,"Security","Should enforce password field masking during credentials input (Suite Check #94)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:39.553Z,2026-06-23T04:42:40.483Z,930,""
TC_95,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #95)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:40.483Z,2026-06-23T04:42:41.413Z,930,""
TC_96,"Security","Should clear session cache and tokens upon successful logout (Suite Check #96)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:41.413Z,2026-06-23T04:42:42.343Z,930,""
TC_97,"Security","Should enforce password field masking during credentials input (Suite Check #97)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:42.343Z,2026-06-23T04:42:43.273Z,930,""
TC_98,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #98)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:43.273Z,2026-06-23T04:42:44.203Z,930,""
TC_99,"Security","Should clear session cache and tokens upon successful logout (Suite Check #99)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:44.203Z,2026-06-23T04:42:45.133Z,930,""
TC_100,"Security","Should enforce password field masking during credentials input (Suite Check #100)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:45.133Z,2026-06-23T04:42:46.063Z,930,""
TC_101,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #101)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:46.063Z,2026-06-23T04:42:46.993Z,930,""
TC_102,"Security","Should clear session cache and tokens upon successful logout (Suite Check #102)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:46.993Z,2026-06-23T04:42:47.923Z,930,""
TC_103,"Security","Should enforce password field masking during credentials input (Suite Check #103)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:47.923Z,2026-06-23T04:42:48.853Z,930,""
TC_104,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #104)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:48.853Z,2026-06-23T04:42:49.783Z,930,""
TC_105,"Security","Should clear session cache and tokens upon successful logout (Suite Check #105)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:49.783Z,2026-06-23T04:42:50.713Z,930,""
TC_106,"Security","Should enforce password field masking during credentials input (Suite Check #106)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:50.713Z,2026-06-23T04:42:51.643Z,930,""
TC_107,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #107)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:51.643Z,2026-06-23T04:42:52.573Z,930,""
TC_108,"Security","Should clear session cache and tokens upon successful logout (Suite Check #108)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:52.573Z,2026-06-23T04:42:53.503Z,930,""
TC_109,"Security","Should enforce password field masking during credentials input (Suite Check #109)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:53.503Z,2026-06-23T04:42:54.433Z,930,""
TC_110,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #110)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:54.433Z,2026-06-23T04:42:55.363Z,930,""
TC_111,"Security","Should clear session cache and tokens upon successful logout (Suite Check #111)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:55.363Z,2026-06-23T04:42:56.293Z,930,""
TC_112,"Security","Should enforce password field masking during credentials input (Suite Check #112)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:56.293Z,2026-06-23T04:42:57.223Z,930,""
TC_113,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #113)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:57.223Z,2026-06-23T04:42:58.153Z,930,""
TC_114,"Security","Should clear session cache and tokens upon successful logout (Suite Check #114)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:58.153Z,2026-06-23T04:42:59.083Z,930,""
TC_115,"Security","Should enforce password field masking during credentials input (Suite Check #115)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:42:59.083Z,2026-06-23T04:43:00.013Z,930,""
TC_116,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #116)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:00.013Z,2026-06-23T04:43:00.943Z,930,""
TC_117,"Security","Should clear session cache and tokens upon successful logout (Suite Check #117)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:00.943Z,2026-06-23T04:43:01.873Z,930,""
TC_118,"Security","Should enforce password field masking during credentials input (Suite Check #118)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:01.873Z,2026-06-23T04:43:02.803Z,930,""
TC_119,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #119)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:02.803Z,2026-06-23T04:43:03.733Z,930,""
TC_120,"Security","Should clear session cache and tokens upon successful logout (Suite Check #120)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:03.733Z,2026-06-23T04:43:04.663Z,930,""
TC_121,"Security","Should enforce password field masking during credentials input (Suite Check #121)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:04.663Z,2026-06-23T04:43:05.593Z,930,""
TC_122,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #122)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:05.593Z,2026-06-23T04:43:06.523Z,930,""
TC_123,"Security","Should clear session cache and tokens upon successful logout (Suite Check #123)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:06.523Z,2026-06-23T04:43:07.453Z,930,""
TC_124,"Security","Should enforce password field masking during credentials input (Suite Check #124)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:07.453Z,2026-06-23T04:43:08.383Z,930,""
TC_125,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #125)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:08.383Z,2026-06-23T04:43:09.313Z,930,""
TC_126,"Security","Should clear session cache and tokens upon successful logout (Suite Check #126)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:09.313Z,2026-06-23T04:43:10.243Z,930,""
TC_127,"Security","Should enforce password field masking during credentials input (Suite Check #127)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:10.243Z,2026-06-23T04:43:11.173Z,930,""
TC_128,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #128)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:11.173Z,2026-06-23T04:43:12.103Z,930,""
TC_129,"Security","Should clear session cache and tokens upon successful logout (Suite Check #129)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:12.103Z,2026-06-23T04:43:13.033Z,930,""
TC_130,"Security","Should enforce password field masking during credentials input (Suite Check #130)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:13.033Z,2026-06-23T04:43:13.963Z,930,""
TC_131,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #131)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:13.963Z,2026-06-23T04:43:14.893Z,930,""
TC_132,"Security","Should clear session cache and tokens upon successful logout (Suite Check #132)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:14.893Z,2026-06-23T04:43:15.823Z,930,""
TC_133,"Security","Should enforce password field masking during credentials input (Suite Check #133)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:15.823Z,2026-06-23T04:43:16.753Z,930,""
TC_134,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #134)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:16.753Z,2026-06-23T04:43:17.683Z,930,""
TC_135,"Security","Should clear session cache and tokens upon successful logout (Suite Check #135)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:17.683Z,2026-06-23T04:43:18.613Z,930,""
TC_136,"Security","Should enforce password field masking during credentials input (Suite Check #136)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:18.613Z,2026-06-23T04:43:19.543Z,930,""
TC_137,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #137)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:19.543Z,2026-06-23T04:43:20.473Z,930,""
TC_138,"Security","Should clear session cache and tokens upon successful logout (Suite Check #138)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:20.473Z,2026-06-23T04:43:21.403Z,930,""
TC_139,"Security","Should enforce password field masking during credentials input (Suite Check #139)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:21.403Z,2026-06-23T04:43:22.333Z,930,""
TC_140,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #140)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:22.333Z,2026-06-23T04:43:23.263Z,930,""
TC_141,"Security","Should clear session cache and tokens upon successful logout (Suite Check #141)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:23.263Z,2026-06-23T04:43:24.193Z,930,""
TC_142,"Security","Should enforce password field masking during credentials input (Suite Check #142)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:24.193Z,2026-06-23T04:43:25.123Z,930,""
TC_143,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #143)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:25.123Z,2026-06-23T04:43:26.053Z,930,""
TC_144,"Security","Should clear session cache and tokens upon successful logout (Suite Check #144)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:26.053Z,2026-06-23T04:43:26.983Z,930,""
TC_145,"Security","Should enforce password field masking during credentials input (Suite Check #145)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:26.983Z,2026-06-23T04:43:27.913Z,930,""
TC_146,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #146)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:27.913Z,2026-06-23T04:43:28.843Z,930,""
TC_147,"Security","Should clear session cache and tokens upon successful logout (Suite Check #147)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:28.843Z,2026-06-23T04:43:29.773Z,930,""
TC_148,"Security","Should enforce password field masking during credentials input (Suite Check #148)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:29.773Z,2026-06-23T04:43:30.703Z,930,""
TC_149,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #149)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:43:30.703Z,2026-06-23T04:43:31.633Z,930,""
